STATE,Total Veterans,Post 9-11,Gulf War,Vietnam War,Korean War,World War II
Alabama,9.1,18.3,23.3,37.2,8.8,3.5
Alaska,12.5,31.7,29.6,31.4,3.7,1.7
Arizona,9.4,15.5,19.1,37.1,10.4,4.7
Arkansas,9.1,16.3,19.9,38.2,9.2,4.2
California,5.6,16.9,17.0,35.9,10.5,5.9
Colorado,9.1,21.3,24.3,35.6,7.3,3.7
Connecticut,6.4,11.8,13.2,35.5,12.3,8.5
Delaware,9.1,14.4,19.1,37.8,9.1,4.5
Florida,9.0,15.0,19.2,35.7,11.5,6.1
Georgia,8.4,19.7,26.3,33.8,6.8,3.0
Hawaii,9.9,29.1,21.3,33.4,7.8,4.7
Idaho,9.5,16.4,19.7,38.7,8.7,4.7
Illinois,6.2,13.1,16.0,36.1,10.6,6.0
Indiana,7.9,12.8,17.0,35.8,9.2,4.7
Iowa,8.1,13.8,15.4,37.4,11.6,6.1
Kansas,8.6,18.8,19.5,35.9,9.7,5.1
Kentucky,8.2,15.9,19.7,36.8,8.3,4.2
Louisiana,7.2,17.8,21.4,35.7,8.6,4.3
Maine,10.3,12.5,17.5,38.7,10.2,5.6
Maryland,8.2,21.9,25.2,31.3,7.8,4.5
Massachusetts,6.0,12.1,12.7,35.2,12.5,7.7
Michigan,7.5,10.7,14.9,38.0,10.0,5.8
Minnesota,7.6,12.2,13.5,38.6,10.9,5.9
Mississippi,7.7,18.2,22.2,36.2,8.7,3.8
Missouri,9.1,14.4,17.8,37.7,9.6,4.7
Montana,10.6,16.2,18.1,38.9,8.9,4.3
Nebraska,8.6,18.0,21.0,35.0,10.7,5.1
Nevada,9.5,17.4,20.3,37.7,8.1,3.3
New_Hampshire,9.4,11.9,17.0,37.1,10.2,5.4
New_Jersey,5.1,10.9,12.2,36.0,12.9,8.2
New_Mexico,9.5,16.9,20.7,38.8,9.5,4.1
New_York,4.9,12.5,12.9,34.2,12.1,7.4
North_Carolina,8.7,18.8,23.0,35.5,8.0,3.5
North_Dakota,8.3,22.0,19.3,34.4,9.2,4.1
Ohio,8.4,12.7,16.8,36.1,9.3,5.5
Oklahoma,9.5,18.9,21.3,37.4,8.9,3.8
Oregon,9.2,13.1,16.8,39.8,9.4,5.4
Pennsylvania,8.0,11.7,14.6,36.2,11.3,6.7
Rhode_Island,7.1,13.0,13.9,36.0,13.0,6.9
South_Carolina,9.8,18.6,22.5,37.6,7.9,3.4
South_Dakota,9.4,18.4,20.0,36.7,10.6,3.9
Tennessee,8.7,16.3,20.4,38.0,8.0,3.8
Texas,7.4,22.3,24.6,33.7,7.4,3.6
Utah,6.0,19.8,19.3,35.4,10.1,5.7
Vermont,8.0,11.0,14.8,38.9,10.7,6.2
Virginia,10.8,28.4,32.4,31.0,6.4,3.2
Washington,9.8,19.5,22.3,36.9,7.8,4.1
West_Virginia,9.5,12.7,17.3,39.1,9.7,4.4
Wisconsin,7.8,12.7,15.0,36.8,10.1,5.7
Wyoming,10.5,19.5,21.2,37.1,7.8,3.7
